threshold,precision,recall,f1,predicted_default_rate
0.05,0.13845591412143973,0.8390735146022155,0.23769042049409483,0.48922816773165534
0.1,0.20444239994742722,0.6265861027190333,0.3082945198691904,0.2474188250979627
0.15,0.26230444216055726,0.46263846928499497,0.33479084681533305,0.142383298375689
0.2,0.3128023818384816,0.33856998992950654,0.32517651610407194,0.08737785148691933
0.25,0.36910377358490565,0.25216515609264856,0.2996290534880938,0.05515178121392452
0.3,0.4070441373160945,0.1838872104733132,0.25332963374028855,0.03646976570248606
0.4,0.4945414847161572,0.09123867069486405,0.1540554327495324,0.014893582426873485
0.5,0.5989010989010989,0.04390735146022155,0.08181647588665791,0.005918410484041429
