absolute_rank,transformed_feature,feature,coefficient,absolute_coefficient,odds_ratio,direction
83,numeric__prev_mean_annuity,prev_mean_annuity,-0.1655595306252138,0.1655595306252138,0.8474194142957586,Lower risk
84,categorical__NAME_INCOME_TYPE_Businessman,NAME_INCOME_TYPE_Businessman,-0.16401205449516518,0.16401205449516518,0.8487317907852729,Lower risk
85,categorical__ORGANIZATION_TYPE_Industry: type 11,ORGANIZATION_TYPE_Industry: type 11,0.15942291138584797,0.15942291138584797,1.1728338465999004,Higher risk
86,categorical__ORGANIZATION_TYPE_Transport: type 1,ORGANIZATION_TYPE_Transport: type 1,-0.15745928293982533,0.15745928293982533,0.8543115979570584,Lower risk
87,numeric__AMT_ANNUITY,AMT_ANNUITY,0.15739478092920456,0.15739478092920456,1.1704575970416013,Higher risk
88,numeric__ELEVATORS_AVG,ELEVATORS_AVG,-0.15681886735576656,0.15681886735576656,0.85485888764575,Lower risk
89,numeric__NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MODE,0.15644687185831305,0.15644687185831305,1.1693486353487321,Higher risk
90,categorical__ORGANIZATION_TYPE_Industry: type 10,ORGANIZATION_TYPE_Industry: type 10,0.15277276037280346,0.15277276037280346,1.1650602010141184,Higher risk
91,categorical__ORGANIZATION_TYPE_Industry: type 8,ORGANIZATION_TYPE_Industry: type 8,0.15093791032006706,0.15093791032006706,1.1629244502332612,Higher risk
92,categorical__HOUSETYPE_MODE_terraced house,HOUSETYPE_MODE_terraced house,-0.1503122098392722,0.1503122098392722,0.8604392968704606,Lower risk
93,categorical__ORGANIZATION_TYPE_Business Entity Type 1,ORGANIZATION_TYPE_Business Entity Type 1,0.14824827654812883,0.14824827654812883,1.1598008119622605,Higher risk
94,categorical__ORGANIZATION_TYPE_Industry: type 9,ORGANIZATION_TYPE_Industry: type 9,-0.14762809969667168,0.14762809969667168,0.8627519129840393,Lower risk
95,categorical__ORGANIZATION_TYPE_Hotel,ORGANIZATION_TYPE_Hotel,-0.14683680489390677,0.14683680489390677,0.8634348742650789,Lower risk
96,numeric__ENTRANCES_AVG,ENTRANCES_AVG,-0.14548073334000466,0.14548073334000466,0.8646065479938717,Lower risk
97,categorical__ORGANIZATION_TYPE_Transport: type 2,ORGANIZATION_TYPE_Transport: type 2,0.14406032263741111,0.14406032263741111,1.1549537762814943,Higher risk
98,numeric__ELEVATORS_MODE,ELEVATORS_MODE,0.1432254775170301,0.1432254775170301,1.1539899711270936,Higher risk
99,numeric__installment_late_payment_rate,installment_late_payment_rate,0.1427344967709622,0.1427344967709622,1.1534235233389725,Higher risk
100,numeric__ENTRANCES_MEDI,ENTRANCES_MEDI,0.14208363087999834,0.14208363087999834,1.1526730435671322,Higher risk
101,categorical__NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Incomplete higher,0.13725134658118704,0.13725134658118704,1.1471164360832669,Higher risk
102,numeric__installment_total_instalment,installment_total_instalment,0.1368210551187882,0.1368210551187882,1.146622947853943,Higher risk
